nome,idade,salario,departamento
Ana,57,9905,TI
Pedro,50,5304,TI
Ana,28,3939,TI
Pedro,21,7488,TI
Carlos,29,6788,TI
Maria,28,7429,TI
Maria,49,8704,TI
Pedro,54,7040,TI
Ana,48,7559,TI
Carlos,53,7191,TI
Maria,52,7142,TI
Carlos,32,3923,TI
Maria,57,2898,TI
João,43,8093,TI
Carlos,59,3687,TI
Carlos,25,4810,TI
Ana,52,4438,TI
Ana,52,3615,TI
Carlos,24,6231,TI
Maria,53,9514,TI
Carlos,25,3461,TI
Maria,35,9225,TI
Maria,32,6828,TI
Pedro,53,4750,TI
João,22,9358,TI
João,28,7503,TI
Ana,48,5001,TI
Pedro,35,3906,TI
Carlos,47,4722,TI
Ana,23,9432,TI
Pedro,45,4945,TI
João,38,6595,TI
Pedro,53,4846,TI
Carlos,44,8513,TI
Pedro,52,5661,TI
Maria,33,4063,TI
Maria,30,5130,TI
Carlos,45,3825,TI
João,34,9981,TI
João,49,8248,TI
Carlos,57,5867,TI
Maria,42,7311,TI
Maria,33,6145,TI
Pedro,47,2776,TI
João,59,2652,TI
Carlos,48,7768,TI
Carlos,28,6220,TI
Maria,46,3533,TI
Ana,20,5443,TI
Ana,59,7770,TI
João,27,4445,TI
João,21,2731,TI
Carlos,23,3435,TI
Ana,38,6540,TI
Maria,33,7246,TI
Pedro,42,2889,TI
Carlos,39,6580,TI
João,56,3045,TI
Ana,28,2987,TI
Ana,30,4629,TI
João,57,2684,TI
Carlos,27,9925,TI
Ana,36,9722,TI
Maria,57,8314,TI
Carlos,33,6364,TI
João,38,3616,TI
Carlos,32,6746,TI
João,45,4863,TI
Pedro,21,5929,TI
Pedro,40,7849,TI
João,50,7179,TI
Pedro,35,3592,TI
Carlos,34,3619,TI
Carlos,27,8952,TI
Pedro,26,7511,TI
Pedro,59,7484,TI
Carlos,42,6920,TI
João,24,5210,TI
Pedro,41,6219,TI
Carlos,33,4269,TI
Ana,39,3951,TI
Pedro,45,4581,TI
Carlos,48,8489,TI
Maria,25,8923,TI
Maria,40,6450,TI
Maria,31,9931,TI
Carlos,56,2690,TI
João,36,3513,TI
João,54,9947,TI
Carlos,23,6429,TI
Carlos,39,6307,TI
Maria,57,8624,TI
João,25,5078,TI
Ana,35,9228,TI
João,45,4040,TI
João,37,4348,TI
Carlos,38,8919,TI
Ana,53,8634,TI
Ana,54,7397,TI
Ana,57,6321,TI
Ana,22,4259,TI
Ana,43,9528,TI
Carlos,20,5344,TI
Maria,32,3493,TI
Carlos,25,9244,TI
João,22,8787,TI
Pedro,33,4697,TI
João,33,4654,TI
João,30,3794,TI
João,38,3224,TI
João,27,9866,TI
Pedro,47,3320,TI
Pedro,46,3212,TI
João,50,5967,TI
Ana,45,6327,TI
João,37,5824,TI
Ana,50,4055,TI
João,20,9174,TI
Carlos,55,6652,TI
João,57,4324,TI
Pedro,21,3928,TI
Pedro,36,6258,TI
Pedro,20,4220,TI
Maria,43,8735,TI
Ana,43,8703,TI
Pedro,31,7806,TI
Carlos,35,6442,TI
Ana,30,6828,TI
João,26,7128,TI
Maria,58,8877,TI
Carlos,60,9712,TI
Maria,37,9422,TI
João,26,4173,TI
Pedro,25,9253,TI
Maria,43,7329,TI
Ana,42,9752,TI
Pedro,40,5812,TI
Ana,31,3788,TI
Maria,58,2814,TI
Maria,44,5897,TI
João,59,8849,TI
Ana,21,4061,TI
Carlos,26,2949,TI
Pedro,34,7348,TI
Carlos,40,6293,TI
Pedro,44,6595,TI
João,50,6331,TI
Maria,24,8540,TI
Pedro,36,5157,TI
Pedro,50,9645,TI
Maria,32,3988,TI
Carlos,50,9311,TI
Carlos,57,8202,TI
Carlos,28,9748,TI
Ana,22,9284,TI
Pedro,47,9105,TI
Carlos,56,2899,TI
João,26,5695,TI
João,57,7681,TI
Pedro,56,8155,TI
Pedro,47,7692,TI
Pedro,37,5242,TI
Maria,28,3311,TI
Ana,32,3422,TI
Maria,59,8171,TI
Carlos,60,4111,TI
Pedro,40,5336,TI
Ana,45,5084,TI
Carlos,54,4363,TI
Ana,40,3302,TI
Carlos,49,3463,TI
Pedro,42,5572,TI
Pedro,25,6719,TI
João,35,4068,TI
João,29,4621,TI
Maria,51,7494,TI
Maria,59,8379,TI
João,33,9095,TI
João,32,3540,TI
Carlos,26,4754,TI
Carlos,33,7295,TI
Carlos,30,3961,TI
Carlos,28,3838,TI
Maria,22,5875,TI
Ana,36,8904,TI
João,26,7689,TI
Pedro,40,7165,TI
Carlos,28,4798,TI
Carlos,21,5662,TI
João,59,4611,TI
Pedro,34,6085,TI
João,50,7950,TI
Pedro,60,8865,TI
Ana,28,8643,TI
Ana,29,6595,TI
Maria,25,5332,TI
Ana,36,5463,TI
Pedro,23,4815,TI
Carlos,47,8945,TI
Maria,57,3651,TI
Ana,60,5062,TI
João,45,4579,TI
Carlos,50,5659,TI
Carlos,22,7062,TI
João,42,5194,TI
Ana,39,8875,TI
Carlos,60,5341,TI
Carlos,44,9290,TI
Carlos,22,6405,TI
Ana,41,8034,TI
Maria,43,5195,TI
Ana,22,9039,TI
João,22,9936,TI
João,32,6665,TI
Maria,23,5729,TI
Carlos,36,9590,TI
Pedro,58,8148,TI
João,29,4118,TI
Carlos,31,3502,TI
Pedro,23,3257,TI
João,57,4963,TI
Maria,20,2881,TI
Ana,27,9026,TI
Carlos,47,8970,TI
Maria,60,3076,TI
Ana,47,9220,TI
Ana,44,7852,TI
João,48,9170,TI
Maria,30,8801,TI
João,23,7966,TI
Maria,26,9847,TI
Carlos,39,8466,TI
Maria,35,9543,TI
João,29,5259,TI
João,26,4186,TI
João,52,4003,TI
Maria,26,8713,TI
João,57,8351,TI
Maria,24,4358,TI
Maria,36,9436,TI
Ana,57,3180,TI
Maria,43,6616,TI
Maria,49,7137,TI
Pedro,59,4871,TI
Ana,54,9208,TI
João,44,4795,TI
Carlos,28,9036,TI
Ana,28,6698,TI
Pedro,50,9659,TI
Ana,44,4640,TI
Carlos,36,8978,TI
Pedro,27,3424,TI
João,42,9181,TI
Maria,59,4675,TI
Ana,45,8423,TI
João,36,7342,TI
Ana,36,6465,TI
Pedro,55,4895,TI
João,53,9530,TI
Pedro,33,8851,TI
Pedro,33,3887,TI
João,58,3857,TI
Ana,32,4678,TI
João,37,7085,TI
Ana,33,6309,TI
Pedro,54,9221,TI
Maria,41,3006,TI
João,40,4313,TI
João,37,3606,TI
Pedro,56,9369,TI
Carlos,45,7994,TI
Maria,50,5489,TI
Ana,45,7406,TI
Maria,48,5755,TI
Ana,21,4194,TI
Maria,32,3816,TI
Ana,37,5017,TI
Carlos,24,5006,TI
Pedro,54,3623,TI
João,22,4096,TI
Maria,49,9563,TI
Ana,46,4894,TI
Pedro,43,3239,TI
Maria,31,7707,TI
Pedro,47,5535,TI
Pedro,23,5431,TI
Carlos,49,3061,TI
Ana,41,5522,TI
Ana,42,6678,TI
Ana,20,4550,TI
Carlos,59,5453,TI
Pedro,47,3977,TI
Carlos,29,8117,TI
Carlos,21,7575,TI
Maria,40,5042,TI
Maria,36,8254,TI
Maria,37,5398,TI
Ana,55,8905,TI
Carlos,29,3854,TI
Maria,27,3707,TI
Maria,53,6156,TI
Maria,30,2656,TI
Ana,40,7073,TI
João,50,6253,TI
Ana,25,3403,TI
Ana,21,8544,TI
Maria,54,3216,TI
Ana,53,3096,TI
Carlos,25,4128,TI
Maria,47,5185,TI
Pedro,26,9556,TI
João,27,9673,TI
Maria,48,2761,TI
Pedro,30,6370,TI
Pedro,46,2748,TI
Maria,33,3325,TI
Ana,43,6523,TI
João,26,3481,TI
Ana,51,2860,TI
Maria,20,9606,TI
João,36,9725,TI
Carlos,32,4048,TI
Maria,25,5183,TI
Ana,44,3596,TI
Pedro,59,3257,TI
Ana,59,3363,TI
Pedro,50,7677,TI
João,52,3900,TI
Maria,55,4624,TI
Maria,21,9009,TI
Maria,49,6502,TI
Pedro,20,3037,TI
João,35,6853,TI
João,28,7878,TI
