nome,idade,salario,departamento
Pedro,34,9948,RH
Ana,57,7619,TI
Ana,57,5278,RH
Carlos,20,7497,Financeiro
Pedro,58,9445,Financeiro
Maria,38,8520,RH
Carlos,39,2857,TI
Maria,40,5291,TI
Carlos,56,7947,Financeiro
Carlos,20,9062,TI
Carlos,59,6341,RH
Pedro,49,3234,RH
Pedro,60,3231,TI
Carlos,25,5390,Financeiro
Maria,45,9365,Financeiro
Pedro,56,9725,TI
Carlos,36,6316,TI
Pedro,50,5681,RH
Pedro,53,9147,TI
Pedro,57,9754,Financeiro
Maria,52,4452,RH
Ana,35,8628,Financeiro
Maria,33,3808,RH
Pedro,21,7470,TI
Ana,38,9082,TI
Ana,33,7010,TI
Carlos,56,6440,TI
Pedro,49,4480,Financeiro
João,20,7058,RH
Pedro,51,5884,RH
João,59,7488,RH
Pedro,46,7698,Financeiro
Ana,27,9431,Financeiro
Ana,46,2811,TI
Carlos,48,3138,RH
Ana,23,3295,Financeiro
Pedro,35,8502,RH
Pedro,45,9188,TI
Carlos,37,8002,Financeiro
Ana,20,8301,TI
Ana,52,4703,RH
Ana,23,8617,TI
Pedro,43,4309,RH
Carlos,43,6472,TI
João,28,7178,TI
João,25,3085,Financeiro
Pedro,28,7754,TI
Carlos,36,6551,Financeiro
João,49,8004,RH
João,54,2511,TI
Pedro,30,5821,RH
Carlos,43,8221,TI
João,35,9280,RH
Carlos,47,9806,RH
Ana,53,9447,TI
Maria,24,7902,RH
Maria,48,8365,RH
João,31,6320,TI
Pedro,42,7769,RH
Maria,52,7993,TI
Pedro,23,5459,TI
Carlos,26,4650,RH
João,55,6359,RH
Pedro,35,5559,RH
Ana,42,7449,TI
João,30,8989,TI
Pedro,44,4222,TI
Carlos,26,8905,TI
Pedro,31,9064,TI
Maria,47,3604,RH
Pedro,57,9473,RH
João,21,6838,RH
Maria,37,9928,TI
Maria,58,8625,RH
Maria,20,6386,RH
Ana,31,2569,Financeiro
Maria,28,6243,RH
João,55,6296,TI
Pedro,60,7693,RH
Ana,31,7724,TI
Maria,48,9828,RH
Pedro,26,7421,TI
Ana,25,9916,RH
Pedro,27,2706,RH
Maria,24,7861,Financeiro
Maria,48,8468,RH
Pedro,41,3038,TI
Carlos,34,9889,Financeiro
Maria,48,4228,TI
Carlos,31,4499,RH
Pedro,55,8316,TI
Maria,35,6643,Financeiro
Maria,32,6138,Financeiro
João,53,6765,TI
Ana,45,3360,RH
Ana,51,6576,TI
Maria,58,5050,RH
Carlos,58,2542,TI
Pedro,31,5749,RH
Ana,25,2589,TI
Carlos,36,9550,TI
Pedro,52,3897,TI
Pedro,53,9758,TI
Ana,50,3613,Financeiro
Carlos,27,2965,TI
Maria,56,8650,Financeiro
Maria,37,4004,RH
Maria,51,3539,RH
Pedro,21,4727,RH
Ana,20,8155,RH
Maria,31,4287,TI
João,29,4570,Financeiro
Maria,40,8825,Financeiro
Maria,56,9855,TI
Carlos,41,7602,Financeiro
Carlos,20,7991,RH
Ana,51,9185,TI
João,57,4647,TI
Carlos,25,5760,TI
Pedro,45,7189,RH
Pedro,53,3474,TI
Carlos,36,5608,RH
Maria,47,9087,Financeiro
Pedro,23,4025,TI
Maria,60,7238,TI
Pedro,34,2585,RH
Ana,35,3877,RH
Pedro,34,2873,Financeiro
Ana,36,5393,TI
Ana,53,5082,Financeiro
Carlos,25,9895,TI
Ana,30,8466,Financeiro
Maria,57,3427,RH
João,22,3029,RH
Carlos,51,4263,TI
Ana,34,8387,TI
Pedro,42,4519,RH
João,32,8252,RH
Ana,29,9135,RH
João,40,9203,RH
Maria,39,5527,RH
Pedro,28,8928,RH
Ana,33,3570,TI
Ana,40,8040,RH
João,21,9125,RH
Carlos,44,5156,TI
Ana,49,8033,RH
Pedro,31,8785,Financeiro
Maria,35,8685,TI
Pedro,29,9780,Financeiro
Pedro,34,8529,RH
Ana,47,6801,Financeiro
Carlos,58,4827,Financeiro
Pedro,30,5384,TI
Ana,32,9534,TI
João,26,5450,TI
Maria,46,4025,RH
Maria,49,3494,Financeiro
Carlos,60,9160,Financeiro
Pedro,46,7891,TI
João,21,9205,RH
Maria,28,5004,RH
Pedro,28,8749,Financeiro
Ana,26,8960,Financeiro
Ana,22,4974,Financeiro
Ana,50,8876,TI
Carlos,24,5801,RH
Maria,28,5837,TI
Ana,53,2663,RH
Ana,25,8407,RH
Carlos,36,7657,TI
Ana,47,6149,RH
Carlos,57,9630,RH
Pedro,47,4865,RH
Carlos,53,5819,TI
João,26,2611,RH
Ana,58,2735,TI
Maria,43,3725,TI
Pedro,48,8666,TI
João,37,8323,Financeiro
Ana,50,8705,Financeiro
Pedro,44,5417,RH
Pedro,46,8344,TI
Carlos,30,9360,Financeiro
Ana,38,9241,RH
Ana,42,4177,TI
Ana,39,6980,RH
Pedro,26,7209,Financeiro
Maria,50,3567,RH
Pedro,30,7497,TI
Carlos,41,2562,TI
Maria,37,6041,RH
Pedro,36,9662,TI
Ana,39,3977,TI
João,33,7921,Financeiro
Pedro,40,5810,TI
Pedro,39,2750,TI
Ana,53,3592,RH
Maria,40,8014,RH
Pedro,21,4355,RH
João,26,7688,RH
Carlos,41,9444,RH
Carlos,29,4438,TI
Ana,57,5351,RH
Maria,51,3004,TI
Maria,57,2648,TI
Ana,49,8255,TI
Maria,37,8359,TI
Pedro,25,3920,TI
Ana,51,7258,TI
Pedro,34,7445,TI
João,32,7671,TI
Pedro,36,3133,RH
Ana,38,3058,TI
Carlos,25,8426,RH
Maria,35,6886,Financeiro
João,38,7231,RH
Carlos,25,7452,TI
Maria,33,5832,RH
João,20,9560,TI
Carlos,49,4236,TI
Carlos,28,5240,RH
Carlos,57,7636,Financeiro
Ana,45,9888,TI
João,24,7441,TI
João,33,6774,TI
Maria,54,5668,Financeiro
Ana,41,4927,RH
Maria,54,3916,Financeiro
Ana,26,7617,TI
Pedro,46,6027,Financeiro
Carlos,51,8362,RH
Ana,26,9696,RH
João,51,5472,TI
Pedro,28,4605,Financeiro
Pedro,27,8103,Financeiro
Carlos,29,5789,RH
Maria,44,4656,TI
Carlos,43,6877,RH
Pedro,59,3466,RH
Maria,58,4787,RH
Ana,47,4302,RH
Ana,27,2911,RH
Ana,44,2554,Financeiro
Ana,53,6574,TI
João,51,5668,RH
Pedro,21,7568,RH
Ana,31,9413,TI
Maria,37,6067,TI
Ana,57,7062,RH
Maria,46,4862,TI
Maria,22,4478,RH
Ana,32,3400,TI
João,41,9636,Financeiro
Maria,33,3479,RH
Ana,23,4063,TI
João,43,3891,Financeiro
Pedro,22,2967,TI
Pedro,45,3871,RH
Ana,42,7687,TI
Carlos,47,3914,TI
João,43,4220,RH
Ana,37,5229,Financeiro
Pedro,41,6456,RH
Maria,47,5255,TI
Pedro,44,5283,RH
Maria,30,5521,Financeiro
Ana,38,5001,RH
Pedro,35,8712,TI
Ana,29,7450,TI
João,21,8652,RH
Ana,46,6787,TI
João,45,5879,TI
Pedro,29,3440,TI
Carlos,39,7634,Financeiro
Pedro,20,9963,RH
Carlos,47,8625,RH
Pedro,56,9540,Financeiro
João,24,5327,RH
Maria,26,3230,Financeiro
Pedro,21,2560,Financeiro
Maria,30,4902,RH
Ana,31,3086,Financeiro
João,25,3971,Financeiro
Pedro,53,6856,TI
Carlos,39,2793,Financeiro
Ana,44,9817,TI
João,28,5245,RH
Ana,26,3597,RH
Ana,21,8968,TI
João,26,3003,RH
Carlos,44,8212,TI
João,50,7673,TI
Pedro,25,5935,TI
Ana,38,7416,TI
Ana,40,2702,RH
Maria,25,9937,Financeiro
Pedro,41,5344,RH
João,55,3477,RH
Carlos,35,9932,Financeiro
João,36,4696,RH
Ana,45,5161,Financeiro
Carlos,39,5456,RH
João,31,2953,RH
Maria,37,8950,TI
Maria,50,8122,TI
Pedro,60,3866,RH
Carlos,48,8203,TI
Ana,36,8087,RH
João,58,9275,Financeiro
Pedro,39,3388,TI
Pedro,53,7479,TI
Pedro,54,5137,TI
João,27,4730,TI
Pedro,57,4217,RH
Carlos,37,5612,TI
Pedro,60,9929,RH
Maria,45,7561,TI
Maria,57,7293,TI
Carlos,45,6468,RH
Maria,44,7722,RH
João,27,8425,Financeiro
Maria,59,6924,RH
Pedro,35,9433,TI
Carlos,34,9824,TI
Carlos,24,4759,RH
Pedro,38,6585,TI
Carlos,33,3815,TI
Ana,34,8246,Financeiro
Pedro,51,6157,RH
Carlos,50,6163,TI
Maria,59,5305,Financeiro
Pedro,58,6369,RH
Pedro,27,8545,RH
João,50,8967,TI
Carlos,28,9254,RH
Pedro,25,8753,RH
Ana,36,6386,RH
Carlos,32,2669,TI
