nome,idade,salario,departamento
Maria,31,9811,Financeiro
Maria,28,5003,Financeiro
Ana,23,6743,Financeiro
Ana,20,5335,Financeiro
João,42,3842,Financeiro
Pedro,23,6898,Financeiro
João,33,7617,Financeiro
Carlos,51,5824,Financeiro
Pedro,32,7713,Financeiro
Maria,54,7114,Financeiro
João,42,6862,Financeiro
Pedro,31,5638,Financeiro
Maria,40,9927,Financeiro
João,60,3597,Financeiro
Carlos,38,5062,Financeiro
Pedro,47,9357,Financeiro
João,23,9167,Financeiro
Pedro,52,7364,Financeiro
Carlos,25,6462,Financeiro
Ana,46,3745,Financeiro
Carlos,43,4059,Financeiro
Carlos,25,7654,Financeiro
Pedro,22,5010,Financeiro
João,23,3368,Financeiro
Ana,21,5518,Financeiro
Maria,57,8430,Financeiro
Maria,30,9234,Financeiro
Pedro,26,3172,Financeiro
Maria,32,8376,Financeiro
Ana,44,5297,Financeiro
Maria,51,8927,Financeiro
João,34,4485,Financeiro
Maria,60,6807,Financeiro
João,33,4785,Financeiro
Ana,43,5716,Financeiro
Pedro,29,5734,Financeiro
Maria,52,6209,Financeiro
Pedro,43,8817,Financeiro
Pedro,42,6524,Financeiro
Carlos,38,9539,Financeiro
Maria,49,7226,Financeiro
Carlos,41,7420,Financeiro
Carlos,46,9842,Financeiro
Pedro,22,8456,Financeiro
Carlos,21,9902,Financeiro
Carlos,60,3755,Financeiro
Ana,24,7799,Financeiro
Ana,49,3229,Financeiro
Carlos,41,5390,Financeiro
Carlos,32,8492,Financeiro
Ana,41,6677,Financeiro
Maria,25,6109,Financeiro
Ana,53,7890,Financeiro
João,50,7051,Financeiro
João,31,7519,Financeiro
Carlos,55,5705,Financeiro
Pedro,27,8887,Financeiro
Pedro,28,9237,Financeiro
Carlos,51,9821,Financeiro
Ana,41,5119,Financeiro
Maria,55,8265,Financeiro
Carlos,31,7616,Financeiro
João,46,5601,Financeiro
Ana,21,9490,Financeiro
Carlos,45,9560,Financeiro
Carlos,25,8995,Financeiro
Carlos,54,9951,Financeiro
Carlos,32,8690,Financeiro
