nome,idade,salario,departamento
Carlos,56,7496,RH
Pedro,54,6512,RH
Maria,54,3858,RH
Maria,59,4717,RH
Pedro,35,6668,RH
João,58,9067,RH
Pedro,38,8366,RH
Ana,37,3153,RH
Ana,30,6719,RH
Ana,58,3391,RH
Ana,23,4327,RH
Carlos,28,6341,RH
Pedro,56,5081,RH
Pedro,43,3914,RH
Carlos,58,4478,RH
Pedro,25,6435,RH
Pedro,57,4397,RH
Ana,27,4463,RH
Pedro,57,2853,RH
Pedro,38,7652,RH
Carlos,51,3798,RH
João,20,9742,RH
Pedro,20,6706,RH
Carlos,36,8335,RH
João,42,4335,RH
Maria,37,6607,RH
Pedro,47,3338,RH
Maria,56,7851,RH
Pedro,37,5095,RH
Ana,27,9354,RH
Carlos,51,6745,RH
Carlos,45,9700,RH
Maria,39,4908,RH
João,22,3846,RH
Carlos,54,3925,RH
Ana,50,5888,RH
Pedro,26,6444,RH
Pedro,38,8886,RH
João,30,8953,RH
João,20,4483,RH
Ana,60,6387,RH
João,56,4222,RH
Pedro,52,5493,RH
Carlos,47,8156,RH
Carlos,31,5320,RH
João,53,8152,RH
Carlos,25,8942,RH
Maria,53,3253,RH
Pedro,42,9851,RH
Maria,21,3236,RH
Maria,35,5867,RH
João,57,9299,RH
Pedro,43,4839,RH
Ana,43,4148,RH
Maria,44,2846,RH
Carlos,50,5501,RH
Ana,49,4438,RH
Carlos,56,3924,RH
Pedro,51,4984,RH
João,30,7275,RH
Carlos,50,9425,RH
João,59,9908,RH
Pedro,39,3654,RH
João,41,7884,RH
Carlos,33,5839,RH
Carlos,44,4927,RH
Maria,21,9119,RH
Pedro,30,5008,RH
Maria,51,9945,RH
Pedro,23,6217,RH
Maria,47,4332,RH
Carlos,23,2878,RH
João,59,8978,RH
Pedro,36,7182,RH
Pedro,24,7979,RH
Ana,47,2583,RH
Carlos,55,3150,RH
Carlos,36,7024,RH
Maria,38,6236,RH
Ana,28,4840,RH
João,42,2874,RH
João,44,8325,RH
Maria,58,6269,RH
Carlos,27,3378,RH
Carlos,24,7604,RH
João,30,2984,RH
João,46,5549,RH
Carlos,35,4860,RH
Maria,58,3268,RH
Pedro,32,3544,RH
João,39,6011,RH
João,50,3449,RH
Carlos,39,6135,RH
Ana,20,6931,RH
Ana,30,9005,RH
Carlos,25,8245,RH
Pedro,53,7344,RH
João,54,3119,RH
Carlos,39,9803,RH
Maria,54,4698,RH
Maria,57,8275,RH
Carlos,26,6275,RH
Maria,59,8952,RH
Maria,44,8804,RH
Carlos,33,4638,RH
Maria,21,6876,RH
Carlos,29,7028,RH
Carlos,25,3140,RH
Maria,27,7207,RH
Carlos,52,4348,RH
Ana,58,9300,RH
Carlos,56,5055,RH
Maria,38,6182,RH
Ana,33,4383,RH
Ana,37,9628,RH
Carlos,53,4242,RH
Ana,49,8714,RH
Pedro,44,4093,RH
Pedro,44,5802,RH
Maria,50,4296,RH
Ana,45,8689,RH
Carlos,29,3032,RH
João,52,9127,RH
Carlos,38,5712,RH
Maria,24,4290,RH
João,58,6317,RH
João,21,6454,RH
Pedro,57,3878,RH
Carlos,48,9236,RH
Maria,38,3632,RH
Pedro,37,8940,RH
Maria,51,4655,RH
Pedro,40,4054,RH
Maria,53,5906,RH
João,42,5275,RH
Pedro,47,7167,RH
João,34,9647,RH
Carlos,21,4053,RH
Ana,26,5237,RH
Carlos,22,3163,RH
Pedro,22,3257,RH
Pedro,33,6452,RH
Maria,48,8350,RH
Ana,54,3594,RH
Pedro,57,7916,RH
Ana,51,7835,RH
Pedro,25,9027,RH
Pedro,48,4184,RH
Pedro,30,3877,RH
Pedro,43,3145,RH
Maria,38,9691,RH
Ana,36,6895,RH
Maria,43,8025,RH
Carlos,52,5050,RH
Maria,30,8200,RH
João,23,6519,RH
Maria,44,9395,RH
Ana,29,8924,RH
Maria,39,5437,RH
Ana,39,6993,RH
João,34,6174,RH
Carlos,28,6442,RH
Maria,29,4571,RH
João,43,3899,RH
Pedro,49,7517,RH
Pedro,37,7799,RH
Carlos,35,5632,RH
João,46,5761,RH
Carlos,22,3728,RH
Carlos,22,6781,RH
Carlos,26,4256,RH
Carlos,28,9892,RH
Maria,36,7270,RH
Pedro,43,3970,RH
Ana,41,2817,RH
Ana,51,5968,RH
Carlos,32,4977,RH
João,38,7005,RH
Ana,39,5401,RH
Ana,52,4751,RH
Carlos,24,4623,RH
Ana,22,5260,RH
João,48,4064,RH
João,60,3637,RH
Maria,36,6993,RH
Ana,44,2683,RH
Pedro,32,2839,RH
Ana,44,3699,RH
Carlos,21,3227,RH
Ana,38,2847,RH
João,42,6135,RH
Carlos,46,7295,RH
João,55,8387,RH
Ana,40,3714,RH
Ana,59,6071,RH
Pedro,36,6068,RH
João,27,4639,RH
Pedro,20,2744,RH
Maria,48,7162,RH
Maria,24,7550,RH
Maria,21,5270,RH
Pedro,20,4484,RH
Carlos,37,5393,RH
Ana,53,3337,RH
João,21,6838,RH
Carlos,41,8504,RH
Maria,56,5074,RH
Carlos,50,3796,RH
Ana,27,8545,RH
Pedro,55,8287,RH
Ana,48,3520,RH
Pedro,56,9409,RH
João,53,9047,RH
João,34,6627,RH
Carlos,26,8460,RH
Ana,26,2759,RH
Maria,56,9026,RH
Maria,33,2817,RH
Ana,23,5834,RH
Carlos,34,5063,RH
João,43,8127,RH
Pedro,20,5400,RH
João,52,3292,RH
Carlos,33,6261,RH
Carlos,25,8163,RH
Ana,44,5366,RH
Maria,33,8587,RH
Carlos,52,8822,RH
Pedro,37,4220,RH
Pedro,30,7974,RH
Carlos,48,5803,RH
Maria,59,9577,RH
Carlos,55,4668,RH
Maria,46,9709,RH
Ana,26,2714,RH
João,28,7561,RH
João,45,3401,RH
Pedro,36,7999,RH
Ana,51,9032,RH
Carlos,54,8887,RH
João,20,7861,RH
Carlos,52,3777,RH
João,44,4871,RH
João,45,4452,RH
João,50,8319,RH
Ana,54,3307,RH
Maria,54,5764,RH
Carlos,34,9772,RH
Ana,29,4442,RH
Ana,48,4619,RH
Ana,21,5813,RH
Ana,54,7306,RH
Maria,30,8142,RH
Pedro,28,3953,RH
Pedro,45,9226,RH
Ana,25,2807,RH
Maria,20,6056,RH
Pedro,34,9071,RH
João,35,6755,RH
Maria,34,6105,RH
Maria,52,6507,RH
João,26,3859,RH
João,41,7802,RH
Ana,31,4918,RH
Pedro,39,6351,RH
Carlos,58,3146,RH
Ana,28,7807,RH
Carlos,31,6115,RH
Pedro,38,8146,RH
Pedro,50,6842,RH
Maria,52,5121,RH
Carlos,32,7620,RH
Pedro,59,9817,RH
Ana,42,5288,RH
Pedro,47,7314,RH
João,48,6867,RH
Carlos,40,6384,RH
Pedro,47,9015,RH
Carlos,52,8770,RH
Pedro,40,3858,RH
Maria,24,2721,RH
João,34,5091,RH
Carlos,29,4429,RH
Ana,39,9415,RH
Maria,33,4089,RH
Maria,52,6468,RH
Maria,49,5880,RH
Maria,30,9631,RH
Maria,22,3939,RH
Maria,55,7609,RH
João,22,4848,RH
João,44,3965,RH
Maria,23,7475,RH
Pedro,47,6555,RH
Carlos,37,7447,RH
João,35,4206,RH
João,52,8560,RH
João,34,3070,RH
Carlos,54,3284,RH
Ana,54,6945,RH
João,39,7473,RH
Maria,20,9561,RH
Pedro,58,7550,RH
Pedro,58,9548,RH
João,58,4133,RH
Maria,22,2901,RH
