nome,idade,salario,departamento,faixa_etaria
Carlos,56,7496,RH,Sênior
Pedro,54,6512,RH,Sênior
Maria,54,3858,RH,Sênior
Ana,57,9905,TI,Sênior
Maria,31,9811,Financeiro,Adulto
Maria,59,4717,RH,Sênior
Pedro,50,5304,TI,Sênior
Maria,28,5003,Financeiro,Jovem
Pedro,35,6668,RH,Adulto
Ana,28,3939,TI,Jovem
João,58,9067,RH,Sênior
Pedro,38,8366,RH,Adulto
Ana,37,3153,RH,Adulto
Ana,23,6743,Financeiro,Jovem
Ana,30,6719,RH,Adulto
Pedro,21,7488,TI,Jovem
Ana,58,3391,RH,Sênior
Ana,23,4327,RH,Jovem
Ana,20,5335,Financeiro,Jovem
Carlos,28,6341,RH,Jovem
Pedro,56,5081,RH,Sênior
Pedro,43,3914,RH,Sênior
Carlos,29,6788,TI,Jovem
Carlos,58,4478,RH,Sênior
João,42,3842,Financeiro,Sênior
Maria,28,7429,TI,Jovem
Maria,49,8704,TI,Sênior
Pedro,54,7040,TI,Sênior
Ana,48,7559,TI,Sênior
Carlos,53,7191,TI,Sênior
Pedro,25,6435,RH,Jovem
Maria,52,7142,TI,Sênior
Carlos,32,3923,TI,Adulto
Maria,57,2898,TI,Sênior
Pedro,57,4397,RH,Sênior
João,43,8093,TI,Sênior
Ana,27,4463,RH,Jovem
Pedro,57,2853,RH,Sênior
Pedro,23,6898,Financeiro,Jovem
Carlos,59,3687,TI,Sênior
João,33,7617,Financeiro,Adulto
Carlos,25,4810,TI,Jovem
Ana,52,4438,TI,Sênior
Carlos,51,5824,Financeiro,Sênior
Pedro,32,7713,Financeiro,Adulto
Maria,54,7114,Financeiro,Sênior
Ana,52,3615,TI,Sênior
Pedro,38,7652,RH,Adulto
Carlos,51,3798,RH,Sênior
João,42,6862,Financeiro,Sênior
João,20,9742,RH,Jovem
Carlos,24,6231,TI,Jovem
Pedro,20,6706,RH,Jovem
Carlos,36,8335,RH,Adulto
Maria,53,9514,TI,Sênior
João,42,4335,RH,Sênior
Pedro,31,5638,Financeiro,Adulto
Maria,37,6607,RH,Adulto
Carlos,25,3461,TI,Jovem
Maria,35,9225,TI,Adulto
Maria,32,6828,TI,Adulto
Pedro,47,3338,RH,Sênior
Pedro,53,4750,TI,Sênior
João,22,9358,TI,Jovem
João,28,7503,TI,Jovem
Maria,56,7851,RH,Sênior
Ana,48,5001,TI,Sênior
Pedro,37,5095,RH,Adulto
Ana,27,9354,RH,Jovem
Carlos,51,6745,RH,Sênior
Pedro,35,3906,TI,Adulto
Carlos,45,9700,RH,Sênior
Maria,39,4908,RH,Adulto
Carlos,47,4722,TI,Sênior
Ana,23,9432,TI,Jovem
Maria,40,9927,Financeiro,Sênior
João,60,3597,Financeiro,Sênior
Carlos,38,5062,Financeiro,Adulto
João,22,3846,RH,Jovem
Carlos,54,3925,RH,Sênior
Ana,50,5888,RH,Sênior
Pedro,45,4945,TI,Sênior
Pedro,47,9357,Financeiro,Sênior
Pedro,26,6444,RH,Jovem
Pedro,38,8886,RH,Adulto
João,30,8953,RH,Adulto
João,20,4483,RH,Jovem
Pedro,53,4846,TI,Sênior
Ana,60,6387,RH,Sênior
João,56,4222,RH,Sênior
Pedro,52,5493,RH,Sênior
Carlos,44,8513,TI,Sênior
Pedro,52,5661,TI,Sênior
João,23,9167,Financeiro,Jovem
Carlos,47,8156,RH,Sênior
João,53,8152,RH,Sênior
Pedro,52,7364,Financeiro,Sênior
Maria,33,4063,TI,Adulto
Maria,30,5130,TI,Adulto
Carlos,25,8942,RH,Jovem
Carlos,45,3825,TI,Sênior
Carlos,25,6462,Financeiro,Jovem
Ana,46,3745,Financeiro,Sênior
João,34,9981,TI,Adulto
Pedro,42,9851,RH,Sênior
Maria,21,3236,RH,Jovem
João,49,8248,TI,Sênior
Maria,35,5867,RH,Adulto
Carlos,57,5867,TI,Sênior
João,57,9299,RH,Sênior
Maria,42,7311,TI,Sênior
Pedro,43,4839,RH,Sênior
Maria,33,6145,TI,Adulto
Ana,43,4148,RH,Sênior
Pedro,47,2776,TI,Sênior
Maria,44,2846,RH,Sênior
Carlos,50,5501,RH,Sênior
Carlos,48,7768,TI,Sênior
Ana,49,4438,RH,Sênior
Carlos,56,3924,RH,Sênior
Ana,20,5443,TI,Jovem
Ana,59,7770,TI,Sênior
Carlos,43,4059,Financeiro,Sênior
Pedro,51,4984,RH,Sênior
João,27,4445,TI,Jovem
João,21,2731,TI,Jovem
João,30,7275,RH,Adulto
Carlos,23,3435,TI,Jovem
Ana,38,6540,TI,Adulto
Carlos,50,9425,RH,Sênior
Carlos,25,7654,Financeiro,Jovem
Maria,33,7246,TI,Adulto
João,59,9908,RH,Sênior
Pedro,22,5010,Financeiro,Jovem
Pedro,42,2889,TI,Sênior
João,23,3368,Financeiro,Jovem
Pedro,39,3654,RH,Adulto
Carlos,39,6580,TI,Adulto
João,41,7884,RH,Sênior
Ana,21,5518,Financeiro,Jovem
João,56,3045,TI,Sênior
Carlos,33,5839,RH,Adulto
Ana,30,4629,TI,Adulto
João,57,2684,TI,Sênior
Carlos,27,9925,TI,Jovem
Ana,36,9722,TI,Adulto
Maria,57,8430,Financeiro,Sênior
Maria,57,8314,TI,Sênior
Carlos,44,4927,RH,Sênior
Pedro,30,5008,RH,Adulto
Maria,30,9234,Financeiro,Adulto
João,38,3616,TI,Adulto
Pedro,23,6217,RH,Jovem
Carlos,32,6746,TI,Adulto
Pedro,21,5929,TI,Jovem
Pedro,26,3172,Financeiro,Jovem
Maria,32,8376,Financeiro,Adulto
João,50,7179,TI,Sênior
Pedro,35,3592,TI,Adulto
Maria,47,4332,RH,Sênior
Carlos,23,2878,RH,Jovem
Ana,44,5297,Financeiro,Sênior
João,59,8978,RH,Sênior
Carlos,34,3619,TI,Adulto
Carlos,27,8952,TI,Jovem
Pedro,36,7182,RH,Adulto
Pedro,26,7511,TI,Jovem
Pedro,59,7484,TI,Sênior
Pedro,24,7979,RH,Jovem
Carlos,42,6920,TI,Sênior
Ana,47,2583,RH,Sênior
Carlos,36,7024,RH,Adulto
João,24,5210,TI,Jovem
Maria,51,8927,Financeiro,Sênior
Pedro,41,6219,TI,Sênior
Carlos,33,4269,TI,Adulto
João,34,4485,Financeiro,Adulto
Maria,38,6236,RH,Adulto
Maria,60,6807,Financeiro,Sênior
João,33,4785,Financeiro,Adulto
Ana,43,5716,Financeiro,Sênior
Pedro,29,5734,Financeiro,Jovem
Ana,28,4840,RH,Jovem
Ana,39,3951,TI,Adulto
João,42,2874,RH,Sênior
Pedro,45,4581,TI,Sênior
Carlos,48,8489,TI,Sênior
Maria,52,6209,Financeiro,Sênior
João,44,8325,RH,Sênior
Maria,40,6450,TI,Sênior
Maria,31,9931,TI,Adulto
Carlos,27,3378,RH,Jovem
Carlos,56,2690,TI,Sênior
João,36,3513,TI,Adulto
Carlos,24,7604,RH,Jovem
João,30,2984,RH,Adulto
João,46,5549,RH,Sênior
Carlos,35,4860,RH,Adulto
Maria,58,3268,RH,Sênior
Pedro,32,3544,RH,Adulto
João,54,9947,TI,Sênior
João,39,6011,RH,Adulto
João,50,3449,RH,Sênior
Carlos,23,6429,TI,Jovem
Pedro,43,8817,Financeiro,Sênior
Carlos,39,6307,TI,Adulto
Carlos,39,6135,RH,Adulto
Maria,57,8624,TI,Sênior
Ana,30,9005,RH,Adulto
Carlos,25,8245,RH,Jovem
João,25,5078,TI,Jovem
Ana,35,9228,TI,Adulto
Pedro,53,7344,RH,Sênior
João,45,4040,TI,Sênior
João,37,4348,TI,Adulto
Carlos,38,8919,TI,Adulto
Maria,54,4698,RH,Sênior
Ana,53,8634,TI,Sênior
Maria,57,8275,RH,Sênior
Ana,54,7397,TI,Sênior
Maria,49,7226,Financeiro,Sênior
Carlos,26,6275,RH,Jovem
Maria,59,8952,RH,Sênior
Ana,57,6321,TI,Sênior
Maria,44,8804,RH,Sênior
Ana,22,4259,TI,Jovem
Ana,43,9528,TI,Sênior
Maria,21,6876,RH,Jovem
Carlos,29,7028,RH,Jovem
Carlos,60,3755,Financeiro,Sênior
Carlos,25,3140,RH,Jovem
Carlos,20,5344,TI,Jovem
Maria,27,7207,RH,Jovem
Carlos,52,4348,RH,Sênior
Ana,58,9300,RH,Sênior
Carlos,25,9244,TI,Jovem
João,22,8787,TI,Jovem
Pedro,33,4697,TI,Adulto
Ana,24,7799,Financeiro,Jovem
João,33,4654,TI,Adulto
João,30,3794,TI,Adulto
Carlos,56,5055,RH,Sênior
João,38,3224,TI,Adulto
Pedro,47,3320,TI,Sênior
Carlos,41,5390,Financeiro,Sênior
Carlos,32,8492,Financeiro,Adulto
Maria,38,6182,RH,Adulto
Pedro,46,3212,TI,Sênior
Ana,41,6677,Financeiro,Sênior
Maria,25,6109,Financeiro,Jovem
João,50,7051,Financeiro,Sênior
João,31,7519,Financeiro,Adulto
Ana,33,4383,RH,Adulto
Ana,37,9628,RH,Adulto
Ana,49,8714,RH,Sênior
Pedro,27,8887,Financeiro,Jovem
Pedro,28,9237,Financeiro,Jovem
João,50,5967,TI,Sênior
Ana,45,6327,TI,Sênior
Ana,41,5119,Financeiro,Sênior
Pedro,44,4093,RH,Sênior
Pedro,44,5802,RH,Sênior
Maria,50,4296,RH,Sênior
Ana,50,4055,TI,Sênior
Ana,45,8689,RH,Sênior
Maria,55,8265,Financeiro,Sênior
Carlos,38,5712,RH,Adulto
Carlos,55,6652,TI,Sênior
Maria,24,4290,RH,Jovem
João,58,6317,RH,Sênior
João,57,4324,TI,Sênior
Pedro,57,3878,RH,Sênior
Carlos,48,9236,RH,Sênior
Maria,38,3632,RH,Adulto
Pedro,21,3928,TI,Jovem
Pedro,36,6258,TI,Adulto
Ana,21,9490,Financeiro,Jovem
Pedro,31,7806,TI,Adulto
Carlos,35,6442,TI,Adulto
Pedro,37,8940,RH,Adulto
Pedro,40,4054,RH,Sênior
Carlos,25,8995,Financeiro,Jovem
Maria,53,5906,RH,Sênior
Pedro,47,7167,RH,Sênior
João,34,9647,RH,Adulto
Carlos,60,9712,TI,Sênior
Carlos,32,8690,Financeiro,Adulto
João,26,4173,TI,Jovem
Pedro,22,3257,RH,Jovem
Ana,43,4921,Financeiro,Sênior
Pedro,33,6452,RH,Adulto
João,58,5907,Financeiro,Sênior
Maria,48,8350,RH,Sênior
Maria,43,7329,TI,Sênior
Ana,42,9752,TI,Sênior
Pedro,42,5237,Financeiro,Sênior
Ana,31,3788,TI,Adulto
Carlos,35,9974,Financeiro,Adulto
Pedro,57,7916,RH,Sênior
Ana,51,7835,RH,Sênior
Maria,58,2814,TI,Sênior
Maria,44,5897,TI,Sênior
Pedro,25,9027,RH,Jovem
Pedro,48,4184,RH,Sênior
Pedro,30,3877,RH,Adulto
Carlos,48,6251,Financeiro,Sênior
Maria,38,9691,RH,Adulto
Ana,21,4061,TI,Jovem
Carlos,26,2949,TI,Jovem
Pedro,34,7348,TI,Adulto
Maria,43,8025,RH,Sênior
Carlos,52,5050,RH,Sênior
Pedro,33,9108,Financeiro,Adulto
Carlos,40,6293,TI,Sênior
Ana,29,8924,RH,Jovem
Pedro,44,6595,TI,Sênior
Maria,39,5437,RH,Adulto
Maria,39,9732,Financeiro,Adulto
Ana,39,6993,RH,Adulto
Ana,24,5576,Financeiro,Jovem
João,34,6174,RH,Adulto
Maria,24,8540,TI,Jovem
Carlos,28,6442,RH,Jovem
Pedro,36,5157,TI,Adulto
Pedro,50,9645,TI,Sênior
Maria,32,3988,TI,Adulto
João,43,3899,RH,Sênior
João,52,5969,Financeiro,Sênior
Maria,20,7502,Financeiro,Jovem
João,38,6595,TI,Adulto
